month,avg_temp_min,avg_temp_max,avg_precip
12,-7.5825806671092595,-2.9974193462441048,2.1103225791165907
1,-9.007096774155093,-4.045161288640192,1.5303225820583681
6,12.79466667175293,23.588666680653887,2.041333334048589
3,-5.721290328906429,3.046451609894153,1.0451612935431542
5,6.443870964213725,16.565806388854984,2.1664516149028654
9,8.63666666333874,17.56266661961873,1.5966666760047277
4,1.760000006208817,11.576666686534882,1.6959999985496204
8,14.050322575722973,24.205806473762756,1.5045161201107888
7,15.090322549881474,24.953548382174585,2.6909677427622576
10,3.4819354848515602,10.15096771015275,2.058064522377906
11,-1.4966666704912979,2.513333341578643,2.061333327839772
2,-8.594556611820394,-2.959679795858528,1.3768719303343684
